"id","tourn_id","date","teamA","scoreA","scoreB","teamB","et","sc","w","l","d","dA","dB"
"finals","wc_1962","1962-06-03  ","Germany",2,1,"Switzerland",0,NA,"Germany","Switzerland",FALSE,NA,NA
"finals","wc_1962","1962-06-06  ","Germany",2,0,"Chile",0,NA,"Germany","Chile",FALSE,NA,NA
"finals","wc_1962","1962-06-07  ","Switzerland",0,3,"Italy",0,NA,"Italy","Switzerland",FALSE,NA,NA
"finals","wc_1962","1962-05-30  ","Brazil",2,0,"Mexico",0,NA,"Brazil","Mexico",FALSE,NA,NA
"finals","wc_1962","1962-05-31  ","Spain",0,1,"Czech Republic/CSFR",0,NA,"Czech Republic/CSFR","Spain",FALSE,NA,NA
"finals","wc_1962","1962-06-02  ","Brazil",0,0,"Czech Republic/CSFR",0,NA,"Draw","Draw",TRUE,"Brazil","Czech Republic/CSFR"
"finals","wc_1962","1962-06-03  ","Mexico",0,1,"Spain",0,NA,"Spain","Mexico",FALSE,NA,NA
"finals","wc_1962","1962-06-06  ","Brazil",2,1,"Spain",0,NA,"Brazil","Spain",FALSE,NA,NA
"finals","wc_1962","1962-06-07  ","Mexico",3,1,"Czech Republic/CSFR",0,NA,"Mexico","Czech Republic/CSFR",FALSE,NA,NA
"finals","wc_1962","1962-05-30  ","Argentina",1,0,"Bulgaria",0,NA,"Argentina","Bulgaria",FALSE,NA,NA
"finals","wc_1962","1962-05-31  ","Hungary",2,1,"England",0,NA,"Hungary","England",FALSE,NA,NA
"finals","wc_1962","1962-06-02  ","Argentina",1,3,"England",0,NA,"England","Argentina",FALSE,NA,NA
"finals","wc_1962","1962-06-03  ","Bulgaria",1,6,"Hungary",0,NA,"Hungary","Bulgaria",FALSE,NA,NA
"finals","wc_1962","1962-06-06  ","Argentina",0,0,"Hungary",0,NA,"Draw","Draw",TRUE,"Argentina","Hungary"
"finals","wc_1962","1962-06-07  ","Bulgaria",0,0,"England",0,NA,"Draw","Draw",TRUE,"Bulgaria","England"
"finals","wc_1962","1962-06-10  ","Chile",2,1,"Russia/USSR",0,NA,"Chile","Russia/USSR",FALSE,NA,NA
"finals","wc_1962","1962-06-10  ","Germany",0,1,"Serbia/Yugoslavia",0,NA,"Serbia/Yugoslavia","Germany",FALSE,NA,NA
"finals","wc_1962","1962-06-10  ","Brazil",3,1,"England",0,NA,"Brazil","England",FALSE,NA,NA
"finals","wc_1962","1962-06-10  ","Hungary",0,1,"Czech Republic/CSFR",0,NA,"Czech Republic/CSFR","Hungary",FALSE,NA,NA
"finals","wc_1962","1962-06-13  ","Chile",2,4,"Brazil",0,NA,"Brazil","Chile",FALSE,NA,NA
"finals","wc_1962","1962-06-13  ","Czech Republic/CSFR",3,1,"Serbia/Yugoslavia",0,NA,"Czech Republic/CSFR","Serbia/Yugoslavia",FALSE,NA,NA
"finals","wc_1962","1962-06-16  ","Chile",1,0,"Serbia/Yugoslavia",0,NA,"Chile","Serbia/Yugoslavia",FALSE,NA,NA
"finals","wc_1962","  1962-06-17","Brazil",3,1,"Czech Republic/CSFR",0,NA,"Brazil","Czech Republic/CSFR",FALSE,NA,NA
"finals","wc_1966","1966-07-11  ","England",0,0,"Uruguay",0,NA,"Draw","Draw",TRUE,"England","Uruguay"
"finals","wc_1966","1966-07-13  ","France",1,1,"Mexico",0,NA,"Draw","Draw",TRUE,"France","Mexico"
"finals","wc_1966","1966-07-15  ","Uruguay",2,1,"France",0,NA,"Uruguay","France",FALSE,NA,NA
"finals","wc_1966","1966-07-16  ","England",2,0,"Mexico",0,NA,"England","Mexico",FALSE,NA,NA
"finals","wc_1966","1966-07-19  ","Mexico",0,0,"Uruguay",0,NA,"Draw","Draw",TRUE,"Mexico","Uruguay"
"finals","wc_1966","1966-07-20  ","England",2,0,"France",0,NA,"England","France",FALSE,NA,NA
"finals","wc_1966","1966-07-12  ","Germany",5,0,"Switzerland",0,NA,"Germany","Switzerland",FALSE,NA,NA
"finals","wc_1966","1966-07-13  ","Argentina",2,1,"Spain",0,NA,"Argentina","Spain",FALSE,NA,NA
"finals","wc_1966","1966-07-15  ","Spain",2,1,"Switzerland",0,NA,"Spain","Switzerland",FALSE,NA,NA
"finals","wc_1966","1966-07-16  ","Argentina",0,0,"Germany",0,NA,"Draw","Draw",TRUE,"Argentina","Germany"
"finals","wc_1966","1966-07-19  ","Argentina",2,0,"Switzerland",0,NA,"Argentina","Switzerland",FALSE,NA,NA
"finals","wc_1966","1966-07-20  ","Germany",2,1,"Spain",0,NA,"Germany","Spain",FALSE,NA,NA
"finals","wc_1966","1966-07-12  ","Brazil",2,0,"Bulgaria",0,NA,"Brazil","Bulgaria",FALSE,NA,NA
"finals","wc_1966","1966-07-13  ","Portugal",3,1,"Hungary",0,NA,"Portugal","Hungary",FALSE,NA,NA
"finals","wc_1966","1966-07-15  ","Hungary",3,1,"Brazil",0,NA,"Hungary","Brazil",FALSE,NA,NA
"finals","wc_1966","1966-07-16  ","Portugal",3,0,"Bulgaria",0,NA,"Portugal","Bulgaria",FALSE,NA,NA
"finals","wc_1966","1966-07-19  ","Portugal",3,1,"Brazil",0,NA,"Portugal","Brazil",FALSE,NA,NA
"finals","wc_1966","1966-07-20  ","Hungary",3,1,"Bulgaria",0,NA,"Hungary","Bulgaria",FALSE,NA,NA
"finals","wc_1966","1966-07-12  ","Russia/USSR",3,0,"North Korea",0,NA,"Russia/USSR","North Korea",FALSE,NA,NA
"finals","wc_1966","1966-07-13  ","Italy",2,0,"Chile",0,NA,"Italy","Chile",FALSE,NA,NA
"finals","wc_1966","1966-07-15  ","North Korea",1,1,"Chile",0,NA,"Draw","Draw",TRUE,"North Korea","Chile"
"finals","wc_1966","1966-07-16  ","Russia/USSR",1,0,"Italy",0,NA,"Russia/USSR","Italy",FALSE,NA,NA
"finals","wc_1966","1966-07-19  ","North Korea",1,0,"Italy",0,NA,"North Korea","Italy",FALSE,NA,NA
